#filename theo_tt tshift obs_tt polarity stnm netwk rayp stla stlo stel evla evlo evdp dist az baz snr xcoeff0 ccmean maxamp
AK.H24K..BHZ.M.2025.087.063103.SAC 726.071641 8.907159 734.978800 1 H24K AK 0.048540 65.837097 -147.878098 814.000000 22.013000 95.921997 35.000000 80.076619 21.937055 302.416156 55.268028 1.000000 0.966894 0.184972
AK.J26L..BHZ.M.2025.087.063115.SAC 738.049336 7.989557 746.038893 1 J26L AK 0.046990 64.501198 -143.563599 1144.000000 22.013000 95.921997 35.000000 82.333391 22.015685 306.344738 46.552692 1.000000 0.956295 0.169985
AK.E19K..BHZ.M.2025.087.063040.SAC 703.640534 8.375010 712.015544 1 E19K AK 0.051203 67.457199 -157.231598 441.000000 22.013000 95.921997 35.000000 76.033448 22.270581 293.895426 39.254242 1.000000 0.963879 0.189267
AK.J25K..BHZ.M.2025.087.063111.SAC 734.384822 7.660297 742.045119 1 J25K AK 0.047450 64.612999 -145.369705 949.000000 22.013000 95.921997 35.000000 81.634542 22.380342 304.766192 35.466932 1.000000 0.957740 0.222175
AK.F20K..BHZ.M.2025.087.063044.SAC 707.621430 8.444959 716.066389 1 F20K AK 0.050745 67.048599 -155.725098 136.000000 22.013000 95.921997 35.000000 76.735782 22.403193 295.316493 48.994736 1.000000 0.964818 0.199495
AK.POKR..BHZ.M.2025.087.063106.SAC 728.999633 8.428995 737.428628 1 POKR AK 0.048159 65.117104 -147.433502 501.000000 22.013000 95.921997 35.000000 80.622217 22.451302 302.909004 42.713231 1.000000 0.966548 0.194656
AK.PS07..BHZ.M.2025.087.063104.SAC 726.838980 8.114548 734.953528 1 PS07 AK 0.048446 65.310600 -148.279099 289.000000 22.013000 95.921997 35.000000 80.217840 22.479426 302.146098 67.702958 1.000000 0.952307 0.134123
AK.RDOG..BHZ.M.2025.087.063028.SAC 690.792518 8.394922 699.187440 1 RDOG AK 0.052686 68.054100 -162.908005 423.000000 22.013000 95.921997 35.000000 73.806833 22.504549 288.702519 39.765161 1.000000 0.966320 0.206862
AK.C16K..BHZ.M.2025.087.063022.SAC 685.279934 8.083834 693.363768 1 C16K AK 0.053305 68.274597 -165.343597 102.000000 22.013000 95.921997 35.000000 72.873031 22.571195 286.460957 53.748332 1.000000 0.967093 0.187586
IM.IL31..BHZ.M.2025.087.063108.SAC 731.051673 7.669810 738.721483 1 IL31 IM 0.047885 64.771400 -146.886597 419.000000 22.013000 95.921997 35.000000 81.006489 22.616066 303.431436 42.336805 1.000000 0.967922 0.219011
AK.H22K..BHZ.M.2025.087.063056.SAC 719.202204 8.803845 728.006049 1 H22K AK 0.049382 65.893700 -151.377304 561.000000 22.013000 95.921997 35.000000 78.814942 22.636299 299.353594 51.082266 1.000000 0.969118 0.171269
CN.ATLI..BHZ.M.2025.087.063148.SAC 771.341694 9.201568 780.543262 1 ATLI CN 0.042401 59.589802 -133.714706 793.000000 22.013000 95.921997 35.000000 89.043728 22.711700 315.112742 40.211656 1.000000 0.966741 0.176254
IU.COLA.00.BHZ.M.2025.087.063106.SAC 728.888842 7.999147 736.887989 1 COLA IU 0.048173 64.873596 -147.861603 83.000000 22.013000 95.921997 35.000000 80.601470 22.758527 302.572416 36.605009 1.000000 0.960897 0.178742
AK.PS08..BHZ.M.2025.087.063109.SAC 731.851998 7.196246 739.048244 1 PS08 AK 0.047779 64.542198 -146.822098 320.000000 22.013000 95.921997 35.000000 81.156360 22.794323 303.518108 39.138412 1.000000 0.966429 0.210664
AK.DOT..BHZ.M.2025.087.063116.SAC 739.758642 8.093727 747.852369 1 DOT AK 0.046776 63.648701 -144.067398 673.000000 22.013000 95.921997 35.000000 82.659368 22.841694 306.003060 33.434710 1.000000 0.968543 0.193099
AK.I23K..BHZ.M.2025.087.063102.SAC 725.201960 8.691469 733.893429 1 I23K AK 0.048647 65.147903 -149.360306 149.000000 22.013000 95.921997 35.000000 79.916562 22.862256 301.231970 46.207221 1.000000 0.969584 0.176749
AK.D17K..BHZ.M.2025.087.063028.SAC 691.094104 8.588996 699.683100 1 D17K AK 0.052652 67.698799 -163.083099 172.000000 22.013000 95.921997 35.000000 73.858220 22.877684 288.645528 41.060997 1.000000 0.964188 0.187459
AK.HDA..BHZ.M.2025.087.063109.SAC 732.002049 7.286083 739.288132 1 HDA AK 0.047759 64.409103 -146.948196 437.000000 22.013000 95.921997 35.000000 81.184459 22.937171 303.426839 30.920726 1.000000 0.966811 0.207141
AK.RIDG..BHZ.M.2025.087.063115.SAC 738.003160 7.483331 745.486491 1 RIDG AK 0.046996 63.739899 -144.846207 871.000000 22.013000 95.921997 35.000000 82.324585 22.970278 305.322252 30.042794 1.000000 0.948156 0.184337
AK.PS09..BHZ.M.2025.087.063112.SAC 735.676670 7.181319 742.857989 1 PS09 AK 0.047288 63.929901 -145.768204 468.000000 22.013000 95.921997 35.000000 81.880907 23.048274 304.505777 9.940062 1.000000 0.914125 0.225159
AK.K24K..BHZ.M.2025.087.063113.SAC 736.033346 7.378192 743.411538 1 K24K AK 0.047243 63.803600 -145.778397 724.000000 22.013000 95.921997 35.000000 81.948927 23.156052 304.512238 32.467672 1.000000 0.962049 0.179156
AK.WRH..BHZ.M.2025.087.063106.SAC 729.600113 7.675936 737.276049 1 WRH AK 0.048079 64.471603 -148.091797 329.000000 22.013000 95.921997 35.000000 80.734665 23.156180 302.430469 46.850984 1.000000 0.967092 0.172285
AK.MLY..BHZ.M.2025.087.063100.SAC 722.792616 8.573579 731.366195 1 MLY AK 0.048943 65.030403 -150.744202 812.000000 22.013000 95.921997 35.000000 79.473145 23.267757 300.050991 50.653675 1.000000 0.965622 0.170034
AK.I21K..BHZ.M.2025.087.063057.SAC 719.915198 8.771068 728.686266 1 I21K AK 0.049297 65.180000 -151.982193 248.000000 22.013000 95.921997 35.000000 78.943958 23.396930 298.952721 45.499868 1.000000 0.968885 0.169050
AK.F18K..BHZ.M.2025.087.063037.SAC 700.564748 8.068804 708.633552 1 F18K AK 0.051555 66.600098 -159.651398 27.000000 22.013000 95.921997 35.000000 75.495125 23.466661 291.965968 48.397403 1.000000 0.964325 0.169871
AK.PS10..BHZ.M.2025.087.063114.SAC 737.187231 7.666191 744.853422 1 PS10 AK 0.047098 63.422901 -145.768402 738.000000 22.013000 95.921997 35.000000 82.168982 23.470372 304.565938 44.942837 1.000000 0.966738 0.159668
IU.BILL.00.BHZ.M.2025.087.062917.SAC 619.672766 7.363809 627.036575 1 BILL IU 0.060057 68.065300 166.453094 318.000000 22.013000 95.921997 35.000000 62.466811 23.479764 260.556662 44.821812 1.000000 0.949256 0.221754
AK.M26K..BHZ.M.2025.087.063122.SAC 745.616035 8.961334 754.577369 1 M26K AK 0.045988 62.401299 -142.996307 888.000000 22.013000 95.921997 35.000000 83.795458 23.559918 307.045480 50.844640 1.000000 0.964852 0.166126
AK.H20K..BHZ.M.2025.087.063050.SAC 713.168745 8.658807 721.827552 1 H20K AK 0.050099 65.492401 -154.880798 514.000000 22.013000 95.921997 35.000000 77.723189 23.688935 296.378625 46.543181 1.000000 0.965404 0.186089
AK.PAX..BHZ.M.2025.087.063116.SAC 739.125804 8.255857 747.381661 1 PAX AK 0.046855 62.969898 -145.469894 1150.000000 22.013000 95.921997 35.000000 82.538681 23.768797 304.873337 57.788140 1.000000 0.968193 0.171290
AK.BESE..BHZ.M.2025.087.063149.SAC 772.704187 9.168488 781.872675 1 BESE AK 0.042312 58.579201 -134.855896 867.000000 22.013000 95.921997 35.000000 89.336287 23.843066 314.154938 23.583527 1.000000 0.944305 0.156649
AK.R32K..BHZ.M.2025.087.063151.SAC 774.287911 9.848617 784.136528 1 R32K AK 0.042209 58.274700 -134.518097 386.000000 22.013000 95.921997 35.000000 89.676350 23.937193 314.443983 19.020317 1.000000 0.965175 0.195862
AK.MCK..BHZ.M.2025.087.063107.SAC 730.029221 7.830029 737.859250 1 MCK AK 0.048021 63.731800 -148.937302 618.000000 22.013000 95.921997 35.000000 80.815021 23.990880 301.807082 36.480401 1.000000 0.965588 0.188570
AK.BPAW..BHZ.M.2025.087.063102.SAC 724.836319 8.515126 733.351445 1 BPAW AK 0.048692 64.099701 -150.987305 619.000000 22.013000 95.921997 35.000000 79.849269 24.140976 299.991636 44.955123 1.000000 0.966030 0.188345
AV.WAZA..BHZ.M.2025.087.063121.SAC 744.380495 8.989751 753.370246 1 WAZA AV 0.046154 62.074600 -144.154404 2531.000000 22.013000 95.921997 35.000000 83.555644 24.147984 306.087979 53.318978 1.000000 0.967182 0.158683
AK.HARP..BHZ.M.2025.087.063118.SAC 741.442920 8.272230 749.715150 1 HARP AK 0.046551 62.398701 -145.156799 581.000000 22.013000 95.921997 35.000000 82.985471 24.157192 305.202090 66.394150 1.000000 0.955448 0.133061
AK.DHY..BHZ.M.2025.087.063112.SAC 735.045084 7.855241 742.900325 1 DHY AK 0.047367 63.075298 -147.375900 1611.000000 22.013000 95.921997 35.000000 81.760459 24.170318 303.231212 31.975049 1.000000 0.963407 0.169832
AK.LOGN..BHZ.M.2025.087.063131.SAC 754.295713 9.342672 763.638385 1 LOGN AK 0.044756 60.824001 -141.004807 1663.099976 22.013000 95.921997 35.000000 85.516900 24.223301 308.862390 57.664384 1.000000 0.965663 0.170393
AK.BARN..BHZ.M.2025.087.063129.SAC 752.321933 9.223322 761.545255 1 BARN AK 0.045053 61.059502 -141.662201 1689.000000 22.013000 95.921997 35.000000 85.119208 24.238659 308.289062 61.169455 1.000000 0.959105 0.150569
AV.WACK..BHZ.M.2025.087.063121.SAC 744.304654 8.910070 753.214724 1 WACK AV 0.046164 61.985802 -144.330505 2280.000000 22.013000 95.921997 35.000000 83.540924 24.269268 305.946590 60.920539 1.000000 0.966936 0.177980
AK.PTPK..BHZ.M.2025.087.063127.SAC 750.368474 9.294235 759.662709 1 PTPK AK 0.045326 61.187099 -142.467194 1892.599976 22.013000 95.921997 35.000000 84.732874 24.378020 307.597086 55.131314 1.000000 0.964430 0.162889
AK.MCAR..BHZ.M.2025.087.063125.SAC 748.684937 8.767275 757.452212 1 MCAR AK 0.045562 61.383598 -143.024002 447.000000 22.013000 95.921997 35.000000 84.399958 24.384415 307.109384 57.221471 1.000000 0.962954 0.159442
AK.BAL..BHZ.M.2025.087.063128.SAC 751.071127 8.955540 760.026667 1 BAL AK 0.045228 61.035999 -142.346207 1318.000000 22.013000 95.921997 35.000000 84.871823 24.462251 307.711011 56.216535 1.000000 0.967139 0.162357
AK.PS11..BHZ.M.2025.087.063118.SAC 741.764680 8.536084 750.300764 1 PS11 AK 0.046507 62.078899 -145.475098 375.000000 22.013000 95.921997 35.000000 83.047923 24.507004 304.964423 52.410247 1.000000 0.960327 0.140108
AK.PIN..BHZ.M.2025.087.063135.SAC 758.014662 9.196825 767.211487 1 PIN AK 0.044198 60.095901 -140.252502 975.000000 22.013000 95.921997 35.000000 86.266506 24.553550 309.542026 46.541298 1.000000 0.969742 0.157771
AK.KIAG..BHZ.M.2025.087.063128.SAC 751.393220 8.981512 760.374732 1 KIAG AK 0.045183 60.923100 -142.360504 1752.199951 22.013000 95.921997 35.000000 84.935516 24.556209 307.707260 54.926418 1.000000 0.965773 0.171797
AK.GLB..BHZ.M.2025.087.063124.SAC 746.975082 8.863790 755.838872 1 GLB AK 0.045801 61.441700 -143.812302 854.900024 22.013000 95.921997 35.000000 84.061838 24.565002 306.436106 52.939663 1.000000 0.966849 0.181133
AK.KTH..BHZ.M.2025.087.063103.SAC 726.462226 8.351163 734.813389 1 KTH AK 0.048492 63.552700 -150.923294 1172.000000 22.013000 95.921997 35.000000 80.148502 24.607764 300.131994 43.240897 1.000000 0.963371 0.173716
AK.PNL..BHZ.M.2025.087.063138.SAC 760.957736 9.134966 770.092702 1 PNL AK 0.043772 59.667000 -139.401398 586.000000 22.013000 95.921997 35.000000 86.870991 24.608137 310.281738 50.836907 1.000000 0.968454 0.156820
AK.VRDI..BHZ.M.2025.087.063125.SAC 748.321670 8.996192 757.317862 1 VRDI AK 0.045612 61.227501 -143.454498 1909.400024 22.013000 95.921997 35.000000 84.328123 24.634867 306.757420 42.711431 1.000000 0.965453 0.182788
AV.N25K..BHZ.M.2025.087.063122.SAC 744.922627 8.813068 753.735695 1 N25K AV 0.046081 61.606098 -144.598206 1087.000000 22.013000 95.921997 35.000000 83.660870 24.653800 305.755152 36.385667 1.000000 0.958205 0.177043
AK.RKAV..BHZ.M.2025.087.063132.SAC 755.273114 9.431859 764.704973 1 RKAV AK 0.044610 60.299400 -141.347794 1647.000000 22.013000 95.921997 35.000000 85.713834 24.739726 308.605415 41.892662 1.000000 0.965399 0.168833
AK.J20K..BHZ.M.2025.087.063055.SAC 718.003860 8.852184 726.856044 1 J20K AK 0.049524 64.176697 -154.146698 314.000000 22.013000 95.921997 35.000000 78.598102 24.745758 297.263955 51.707608 1.000000 0.966861 0.178694
AK.GCSA..BHZ.M.2025.087.063047.SAC 710.709856 8.373198 719.083054 1 GCSA AK 0.050386 64.746101 -156.879196 45.000000 22.013000 95.921997 35.000000 77.285095 24.752014 294.799649 46.819038 1.000000 0.964934 0.177938
AK.S31K..BHZ.M.2025.087.063149.SAC 772.239804 9.298895 781.538699 1 S31K AK 0.042343 57.961601 -136.231995 34.000000 22.013000 95.921997 35.000000 89.236573 24.789802 313.000613 28.208293 1.000000 0.956377 0.174074
AK.TGL..BHZ.M.2025.087.063128.SAC 750.995312 8.815632 759.810944 1 TGL AK 0.045238 60.754101 -142.829193 1266.400024 22.013000 95.921997 35.000000 84.856830 24.830696 307.323571 40.642760 1.000000 0.963142 0.177010
AK.PS12..BHZ.M.2025.087.063121.SAC 744.218106 8.553407 752.771513 1 PS12 AK 0.046176 61.474899 -145.145798 562.700012 22.013000 95.921997 35.000000 83.524125 24.914173 305.303881 60.063754 1.000000 0.968929 0.170866
AK.CAST..BHZ.M.2025.087.063101.SAC 724.365910 8.494096 732.860006 1 CAST AK 0.048750 63.418800 -152.084396 611.000000 22.013000 95.921997 35.000000 79.762695 24.987020 299.160634 50.986750 1.000000 0.963456 0.187846
AK.MESA..BHZ.M.2025.087.063131.SAC 754.479861 9.414064 763.893925 1 MESA AK 0.044729 60.178200 -141.949799 1907.000000 22.013000 95.921997 35.000000 85.554003 25.021341 308.105466 34.513155 1.000000 0.968182 0.166162
AK.F15K..BHZ.M.2025.087.063028.SAC 691.294076 8.437010 699.731086 1 F15K AK 0.052629 65.707703 -164.648300 388.000000 22.013000 95.921997 35.000000 73.892642 25.051599 287.819004 45.919169 1.000000 0.964554 0.196268
AK.H17K..BHZ.M.2025.087.063040.SAC 703.572372 8.654954 712.227326 1 H17K AK 0.051211 64.936996 -159.912598 396.000000 22.013000 95.921997 35.000000 76.021519 25.100954 292.135708 44.943629 1.000000 0.964250 0.194757
AK.KLU..BHZ.M.2025.087.063119.SAC 742.594686 8.900625 751.495311 1 KLU AK 0.046395 61.492401 -145.922699 1047.099976 22.013000 95.921997 35.000000 83.209025 25.114182 304.645164 51.607245 1.000000 0.966384 0.187822
AK.KHIT..BHZ.M.2025.087.063128.SAC 751.110748 8.924827 760.035575 1 KHIT AK 0.045222 60.442699 -143.251007 1101.000000 22.013000 95.921997 35.000000 84.879658 25.205723 306.991225 35.528607 1.000000 0.962403 0.172935
AK.CYK..BHZ.M.2025.087.063130.SAC 753.720466 9.160434 762.880900 1 CYK AK 0.044843 60.082298 -142.487198 23.000000 22.013000 95.921997 35.000000 85.400995 25.262416 307.659495 34.007386 1.000000 0.964783 0.161997
AV.EDNW..BHZ.M.2025.087.063153.SAC 775.928896 9.429415 785.358311 1 EDNW AV 0.042101 57.062996 -135.783813 359.000000 22.013000 95.921997 35.000000 90.028708 25.279530 313.384027 17.866830 1.000000 0.963440 0.180036
AV.EDSO..BHZ.M.2025.087.063153.SAC 776.033439 9.380712 785.414151 1 EDSO AV 0.042095 57.028198 -135.787567 226.000000 22.013000 95.921997 35.000000 90.051156 25.306205 313.380980 20.520429 1.000000 0.965437 0.183263
AK.M23K..BHZ.M.2025.087.063115.SAC 738.017491 7.883005 745.900496 1 M23K AK 0.046994 61.792900 -147.726196 583.000000 22.013000 95.921997 35.000000 82.327318 25.344701 303.088009 49.386944 1.000000 0.964233 0.168948
